OBJECTID,FeatureType,Region,Orientation,Type,Boulder,OddShape,Shape_Length
150,,1,289.1949012,U,,,0.927005121
151,,1,273.1052123,U,,,0.565641916
152,,1,98.51541466,P,,,1.037375598
153,,1,90.98265393,U,,,2.41050228
154,,1,338.8433962,I,,,0.404640574
155,,1,122.6208686,I,,,1.437576583
156,,1,160.3684914,I,,,1.385236561
157,,1,327.9069112,I,,,1.238398553
158,,1,335.6944677,U,,,0.353851073
159,,1,307.8564128,I,,,1.221831325
160,,1,285.587394,P,,,2.319550729
161,,1,270,U,,,0.521396714
162,,1,313.0340288,I,,,0.417261871
163,,1,298.3669872,T,,,1.147914511
164,,1,274.1280638,U,,,1.398432718
165,,1,98.49418764,U,,,2.002166284
166,,1,280.1472214,U,,,2.284332227
167,,1,92.17011991,U,,,0.573583578
168,,1,98.17597378,O,,,1.488962467
169,,1,15.484949,I,,,0.613766087
170,,1,174.4840318,I,,,1.500123863
171,,1,270.8029144,U,,,1.581933616
172,,1,265.5861233,U,,,0.866457928
173,,1,270.9332558,T,,,1.038428707
174,,1,273.3707249,I,,,0.683496009
175,,1,339.3245889,I,,Y,0.993353886
176,,1,186.9325342,I,,,1.909694495
177,,1,117.4445223,I,,,1.02577544
178,,1,123.0374157,U,,,1.326273656
179,,1,313.6997517,I,,,1.326066913
180,,1,322.7915777,P,,,2.350260381
181,,1,140.0695993,I,,,1.703740164
182,,1,144.9641999,O,,,2.418909255
183,,1,323.190921,I,,,1.498477007
184,,1,202.862069,I,,,0.348414942
185,,1,270,T,,,0.654366354
186,,1,156.841343,I,,,1.20409444
187,,1,270,T,,,0.469375457
188,,1,270,T,,,0.261349079
189,,1,26.09916735,T,,,0.974398963
190,,1,30.77396894,O,,,1.59157923
191,,1,309.6576509,I,,,0.558701306
192,,1,306.0987254,T,,,0.710029155
193,,1,27.84189741,O,,,0.568236732
194,,1,344.3449109,I,,,0.361774439
195,,1,205.9138202,T,,,0.384544505
196,,1,133.9322852,U,,,0.500277457
197,,1,144.9668846,I,,,0.329244366
198,,1,333.6898595,I,,,1.399124455
199,,1,100.1974299,I,,,1.043032494
200,,1,100.2402447,U,,,0.485505636
201,,1,297.069919,U,,,0.61930831
202,,1,298.8071805,U,,,0.523338774
203,,1,273.7871624,P,,,0.287540062
204,,1,270,P,,,1.532426214
205,,1,273.5637284,P,,,1.254072181
206,,1,300.464343,I,,,0.476449094
207,,1,285.3300289,U,,,0.254315892
208,,1,288.4320469,U,,,0.626825432
209,,1,294.5695944,I,,,0.29591709
210,,1,268.2371046,U,,,0.536065123
211,,1,309.6534124,I,,,1.154678692
212,,1,273.8301323,U,,,1.710356425
213,,1,341.7273396,I,,,0.786645639
214,,1,345.268604,I,,,0.985024036
215,,1,156.4296788,I,,,3.448066782
216,,1,152.6846869,U,,,4.379625362
217,,1,89.10033842,U,,,5.336243903
218,,1,92.05652925,O,,,0.926413482
219,,1,277.8225576,O,,,4.4444445
220,,1,269.1082995,O,,,0.968594027
221,,1,269.2824125,O,,,1.041506052
