OBJECTID,Type,Region,Orientation,FeatureType,Boulder,OddShape,Shape_Length
191,P,4,325.0230591,,,,4959.287437
192,P,4,305.1386188,,,,2882.268352
193,U,4,277.2845866,,,,1053.239217
194,P,4,330.3453961,,,,2866.05072
195,P,4,318.0312627,,,,4299.887989
196,P,4,317.5735953,,,,5111.779078
197,P,4,311.8031513,,,,1783.66149
198,P,4,322.3560687,,,,4326.301435
199,P,4,153.2518732,,,,4182.392472
200,P,4,318.7749439,,,,1494.474241
201,P,4,316.9648534,,,,5036.901649
202,U,4,315.7465913,,,,4398.881543
203,U,4,325.5873678,,,,1816.078529
204,P,4,126.7966072,,,,5869.336024
205,P,4,305.2119232,,,,2794.85423
206,I,4,325.8156879,,,,4167.202653
207,U,4,303.5405038,,,,6714.914156
208,P,4,128.3679331,,,,6010.03201
209,P,4,312.8403084,,,,5601.573309
210,P,4,314.1573861,,,,1671.097622
211,I,4,304.8857954,,,,6791.971774
212,I,4,206.5089744,,,,12523.94786
213,U,4,20.88154615,,,,13714.68496
214,U,4,5.696767243,,,,10423.56476
215,O,4,204.2183221,,,,9463.676879
216,U,4,211.2647803,,,,5583.922252
217,O,4,205.9542705,,,,10708.50962
218,O,4,205.826361,,,,6353.076248
219,O,4,211.1333263,,,,5183.941482
220,P,4,329.0999319,,,,7067.714148
